"location","spp","gear","year","EncProb","PosCatch","PredCatchKg","TotalCatch","perc"
66,"cod_adu","THA2",26,0.0302054687992877,7.30629876380478,0.22069017934838,66.8644674714078,0.330055988919302
79,"cod_adu","THA2",26,0.580897899729838,19.160676810732,11.1303969167564,514.964545584716,2.16139091752782
66,"had_adu","THA2",26,0.0446632967302134,42.0689477486743,1.87893789642688,66.8644674714078,2.8100693350027
79,"had_adu","THA2",26,0.916771229579697,179.90030228296,164.927421325708,514.964545584716,32.0269468529026
66,"whg_adu","THA2",26,0.890738631958144,35.9227829522473,31.9978105430141,66.8644674714078,47.8547302522029
79,"whg_adu","THA2",26,0.903685164129921,372.337178916576,336.475584640898,514.964545584716,65.3395631846552
66,"ple_adu","THA2",26,0.752396704505459,40.4163568162091,30.4091336766324,66.8644674714078,45.4787644717814
79,"ple_adu","THA2",26,0.372154175443866,6.19445666114039,2.30529291104946,514.964545584716,0.447660509993348
66,"sol_adu","THA2",26,0.605327322691697,3.89523995959929,2.35789517598595,66.8644674714078,3.52637995209372
79,"sol_adu","THA2",26,0.10256116163405,1.22707064056748,0.125849790303639,514.964545584716,0.0244385349210289
66,"cod_adu","NWGFS",26,0.00175619851076633,41.9883918871127,0.0737399513016203,146.400468770203,0.0503686579155467
79,"cod_adu","NWGFS",26,0.0726064453001518,110.11403075069,7.99498835047921,138.349747593553,5.77882395128544
66,"had_adu","NWGFS",26,0.00265260359919575,69.0377456152679,0.18312977249942,146.400468770203,0.125088241887305
79,"had_adu","NWGFS",26,0.385236350653613,295.227524570356,113.732374177984,138.349747593553,82.2064197125309
66,"whg_adu","NWGFS",26,0.0486739126696674,15.1668458352659,0.738229729660039,146.400468770203,0.504253665211141
79,"whg_adu","NWGFS",26,0.0556106827805162,157.203315758481,8.7421837246902,138.349747593553,6.31890110155687
66,"ple_adu","NWGFS",26,0.530877829127748,169.274975936826,89.8643317509938,146.400468770203,61.3825437212562
79,"ple_adu","NWGFS",26,0.180827137790746,25.9441123559093,4.69139957984062,138.349747593553,3.39097082679406
66,"sol_adu","NWGFS",26,0.638761567656486,86.9511260195556,55.541037565748,146.400468770203,37.9377457137298
79,"sol_adu","NWGFS",26,0.116417149779231,27.391168454191,3.1888017605597,138.349747593553,2.30488440783269
