Measure Names,reg_area_cod,species,year,Measure Values
landings,7BCEFGHJK,LEZ,2005,4051.1377
discards,7BCEFGHJK,LEZ,2006,1107.223
landings,7BCEFGHJK,LEZ,2006,3395.8991
discards,7BCEFGHJK,LEZ,2007,1175.148
landings,7BCEFGHJK,LEZ,2007,3418.1596
discards,7BCEFGHJK,LEZ,2008,1820.51
landings,7BCEFGHJK,LEZ,2008,3312.8814
discards,7BCEFGHJK,LEZ,2009,1386.312
landings,7BCEFGHJK,LEZ,2009,4395.7501
discards,7BCEFGHJK,LEZ,2010,7117.175695
landings,7BCEFGHJK,LEZ,2010,12185.7009
discards,7BCEFGHJK,LEZ,2011,2194.663653
landings,7BCEFGHJK,LEZ,2011,11338.74498
discards,7BCEFGHJK,LEZ,2012,6625.376601
landings,7BCEFGHJK,LEZ,2012,9734.03498
discards,7BCEFGHJK,LEZ,2013,8591.996717
landings,7BCEFGHJK,LEZ,2013,14871.74022
discards,7BCEFGHJK,LEZ,2014,3245.307103
landings,7BCEFGHJK,LEZ,2014,12354.6377
discards,7BCEFGHJK,LEZ,2015,3085.999064
landings,7BCEFGHJK,LEZ,2015,12442.93355
discards,7BCEFGHJK,MEG,2003,0
landings,7BCEFGHJK,MEG,2003,1111.148
discards,7BCEFGHJK,MEG,2004,0
landings,7BCEFGHJK,MEG,2004,1070.362
discards,7BCEFGHJK,MEG,2005,0
landings,7BCEFGHJK,MEG,2005,940.583
discards,7BCEFGHJK,MEG,2006,0
landings,7BCEFGHJK,MEG,2006,791.242
discards,7BCEFGHJK,MEG,2007,0
landings,7BCEFGHJK,MEG,2007,925.599
discards,7BCEFGHJK,MEG,2008,0
landings,7BCEFGHJK,MEG,2008,738.534
discards,7BCEFGHJK,MEG,2009,
landings,7BCEFGHJK,MEG,2009,780.38896
discards,7BCEFGHJK,MON,2015,
landings,7BCEFGHJK,MON,2015,0.203
discards,7BCEFGHJK,PLE,2003,696.991
landings,7BCEFGHJK,PLE,2003,2009.2444
discards,7BCEFGHJK,PLE,2004,556.533
landings,7BCEFGHJK,PLE,2004,1836.6015
discards,7BCEFGHJK,PLE,2005,512.97
landings,7BCEFGHJK,PLE,2005,1663.7237
discards,7BCEFGHJK,PLE,2006,442.995
landings,7BCEFGHJK,PLE,2006,1712.5956
discards,7BCEFGHJK,PLE,2007,1047.319
landings,7BCEFGHJK,PLE,2007,1448.1417
discards,7BCEFGHJK,PLE,2008,1759.421
landings,7BCEFGHJK,PLE,2008,1417.8517
discards,7BCEFGHJK,PLE,2009,895.013
landings,7BCEFGHJK,PLE,2009,1504.47608
discards,7BCEFGHJK,PLE,2010,1054.764063
landings,7BCEFGHJK,PLE,2010,1639.3202
discards,7BCEFGHJK,PLE,2011,1077.051345
landings,7BCEFGHJK,PLE,2011,1861.25266
discards,7BCEFGHJK,PLE,2012,2596.650003
landings,7BCEFGHJK,PLE,2012,1942.22196
discards,7BCEFGHJK,PLE,2013,1499.596742
landings,7BCEFGHJK,PLE,2013,1839.60023
discards,7BCEFGHJK,PLE,2014,2441.387563
landings,7BCEFGHJK,PLE,2014,1915.00494
discards,7BCEFGHJK,PLE,2015,2377.01
landings,7BCEFGHJK,PLE,2015,1752.54251
discards,7BCEFGHJK,SOL,2003,55.121
landings,7BCEFGHJK,SOL,2003,2174.7571
discards,7BCEFGHJK,SOL,2004,365.939
landings,7BCEFGHJK,SOL,2004,2018.3515
discards,7BCEFGHJK,SOL,2005,22.682
landings,7BCEFGHJK,SOL,2005,2270.3878
discards,7BCEFGHJK,SOL,2006,14.073
landings,7BCEFGHJK,SOL,2006,2081.0456
discards,7BCEFGHJK,SOL,2007,105.874
landings,7BCEFGHJK,SOL,2007,2083.986
discards,7BCEFGHJK,SOL,2008,20.915
landings,7BCEFGHJK,SOL,2008,1736.4869
discards,7BCEFGHJK,SOL,2009,41.56
landings,7BCEFGHJK,SOL,2009,1650.42729
discards,7BCEFGHJK,SOL,2010,148.606289
landings,7BCEFGHJK,SOL,2010,1772.1411
discards,7BCEFGHJK,SOL,2011,43.491615
landings,7BCEFGHJK,SOL,2011,2036.85207
discards,7BCEFGHJK,SOL,2012,29.55928
landings,7BCEFGHJK,SOL,2012,2170.76826
discards,7BCEFGHJK,SOL,2013,76.061336
landings,7BCEFGHJK,SOL,2013,2108.23798
discards,7BCEFGHJK,SOL,2014,167.285356
landings,7BCEFGHJK,SOL,2014,2184.92823
discards,7BCEFGHJK,SOL,2015,110.565441
landings,7BCEFGHJK,SOL,2015,1882.02592
discards,7BCEFGHJK,WHG,2003,3601.687
landings,7BCEFGHJK,WHG,2003,10303.133
discards,7BCEFGHJK,WHG,2004,10218.034
landings,7BCEFGHJK,WHG,2004,9407.6025
discards,7BCEFGHJK,WHG,2005,6837.339
landings,7BCEFGHJK,WHG,2005,12124.7183
