Measure Names,reg_area_cod,species,year,Measure Values
landings,7BCEFGHJK,CBC,2004,0
discards,7BCEFGHJK,CBC,2005,0.136
landings,7BCEFGHJK,CBC,2005,0
discards,7BCEFGHJK,CBC,2006,0.361
landings,7BCEFGHJK,CBC,2006,0
discards,7BCEFGHJK,CBC,2007,0.779
landings,7BCEFGHJK,CBC,2007,0
discards,7BCEFGHJK,CBC,2008,1.318
landings,7BCEFGHJK,CBC,2008,0
discards,7BCEFGHJK,CBC,2009,0.274
landings,7BCEFGHJK,CBC,2009,0
discards,7BCEFGHJK,CBC,2011,1.671
landings,7BCEFGHJK,CBC,2011,0
discards,7BCEFGHJK,CBC,2012,0.546
landings,7BCEFGHJK,CBC,2012,0
discards,7BCEFGHJK,CBC,2013,0.683
landings,7BCEFGHJK,CBC,2013,0.001
discards,7BCEFGHJK,CBC,2014,1.499
landings,7BCEFGHJK,CBC,2014,0.004
discards,7BCEFGHJK,CEP,2003,
landings,7BCEFGHJK,CEP,2003,6.328
discards,7BCEFGHJK,CEP,2004,
landings,7BCEFGHJK,CEP,2004,3.834
discards,7BCEFGHJK,CEP,2005,
landings,7BCEFGHJK,CEP,2005,3.996
discards,7BCEFGHJK,CEP,2006,
landings,7BCEFGHJK,CEP,2006,13.468
discards,7BCEFGHJK,CEP,2007,
landings,7BCEFGHJK,CEP,2007,13.041
discards,7BCEFGHJK,CEP,2008,0
landings,7BCEFGHJK,CEP,2008,0.189
discards,7BCEFGHJK,CEP,2009,
landings,7BCEFGHJK,CEP,2009,0.189
discards,7BCEFGHJK,CET,2003,
landings,7BCEFGHJK,CET,2003,0.007
discards,7BCEFGHJK,CET,2004,
landings,7BCEFGHJK,CET,2004,0.005
discards,7BCEFGHJK,CET,2007,
landings,7BCEFGHJK,CET,2007,0.006
discards,7BCEFGHJK,CET,2014,
landings,7BCEFGHJK,CET,2014,0.055
discards,7BCEFGHJK,CET,2015,
landings,7BCEFGHJK,CET,2015,0.17547
discards,7BCEFGHJK,CFB,2009,0.08
landings,7BCEFGHJK,CFB,2009,0
discards,7BCEFGHJK,CFB,2010,20.01
landings,7BCEFGHJK,CFB,2010,0.367
discards,7BCEFGHJK,CFB,2012,0.58
landings,7BCEFGHJK,CFB,2012,0
discards,7BCEFGHJK,CFB,2013,0.27
landings,7BCEFGHJK,CFB,2013,0
discards,7BCEFGHJK,CFB,2015,5.08
landings,7BCEFGHJK,CFB,2015,0
discards,7BCEFGHJK,CLB,2003,
landings,7BCEFGHJK,CLB,2003,8.656
discards,7BCEFGHJK,CLB,2004,
landings,7BCEFGHJK,CLB,2004,20.617
discards,7BCEFGHJK,CLB,2006,
landings,7BCEFGHJK,CLB,2006,0.147
discards,7BCEFGHJK,CLB,2008,
landings,7BCEFGHJK,CLB,2008,0.111
discards,7BCEFGHJK,CLB,2009,
landings,7BCEFGHJK,CLB,2009,0.111
discards,7BCEFGHJK,CLJ,2006,
landings,7BCEFGHJK,CLJ,2006,0.079
discards,7BCEFGHJK,CLJ,2008,
landings,7BCEFGHJK,CLJ,2008,0.024
discards,7BCEFGHJK,CLJ,2009,
landings,7BCEFGHJK,CLJ,2009,0.024
discards,7BCEFGHJK,CLV,2003,
landings,7BCEFGHJK,CLV,2003,17.236
discards,7BCEFGHJK,CLV,2004,
landings,7BCEFGHJK,CLV,2004,9.889
discards,7BCEFGHJK,CLV,2005,
landings,7BCEFGHJK,CLV,2005,2.337
discards,7BCEFGHJK,CLV,2006,
landings,7BCEFGHJK,CLV,2006,9.648
discards,7BCEFGHJK,CLV,2007,
landings,7BCEFGHJK,CLV,2007,14.885
discards,7BCEFGHJK,CLV,2008,
landings,7BCEFGHJK,CLV,2008,15.514
discards,7BCEFGHJK,CLV,2009,
landings,7BCEFGHJK,CLV,2009,15.399
discards,7BCEFGHJK,CLX,2014,
landings,7BCEFGHJK,CLX,2014,0.08
discards,7BCEFGHJK,CMM,2012,
landings,7BCEFGHJK,CMM,2012,0.035
discards,7BCEFGHJK,CMM,2015,
landings,7BCEFGHJK,CMM,2015,0.001
discards,7BCEFGHJK,CMO,2003,
landings,7BCEFGHJK,CMO,2003,2.09
discards,7BCEFGHJK,CMO,2004,5.735
landings,7BCEFGHJK,CMO,2004,0.36
discards,7BCEFGHJK,CMO,2005,68.565
landings,7BCEFGHJK,CMO,2005,0
discards,7BCEFGHJK,CMO,2007,0.021
landings,7BCEFGHJK,CMO,2007,3.33
discards,7BCEFGHJK,CMO,2008,6.172
landings,7BCEFGHJK,CMO,2008,0.98
discards,7BCEFGHJK,CMO,2009,0.51
landings,7BCEFGHJK,CMO,2009,0.41
discards,7BCEFGHJK,CMO,2010,313.402
landings,7BCEFGHJK,CMO,2010,4.556
discards,7BCEFGHJK,CMO,2011,72.077731
landings,7BCEFGHJK,CMO,2011,3.93165
discards,7BCEFGHJK,CMO,2012,12.541682
landings,7BCEFGHJK,CMO,2012,3.99318
discards,7BCEFGHJK,CMO,2013,3.626
landings,7BCEFGHJK,CMO,2013,3.001
discards,7BCEFGHJK,CMO,2014,9.032114
landings,7BCEFGHJK,CMO,2014,3.50226
discards,7BCEFGHJK,CMO,2015,6.345173
landings,7BCEFGHJK,CMO,2015,1.47376
discards,7BCEFGHJK,COC,2008,
landings,7BCEFGHJK,COC,2008,0.003
discards,7BCEFGHJK,COC,2009,
landings,7BCEFGHJK,COC,2009,0.003
discards,7BCEFGHJK,COC,2011,
landings,7BCEFGHJK,COC,2011,0.039
discards,7BCEFGHJK,COC,2014,
landings,7BCEFGHJK,COC,2014,0.0191
discards,7BCEFGHJK,COD,2003,213.706
landings,7BCEFGHJK,COD,2003,3909.5964
discards,7BCEFGHJK,COD,2004,478.384
landings,7BCEFGHJK,COD,2004,2185.3965
discards,7BCEFGHJK,COD,2005,1050.288
landings,7BCEFGHJK,COD,2005,2060.7733
discards,7BCEFGHJK,COD,2006,624.15
landings,7BCEFGHJK,COD,2006,2156.9993
discards,7BCEFGHJK,COD,2007,1167.722
landings,7BCEFGHJK,COD,2007,2207.4574
discards,7BCEFGHJK,COD,2008,157.448
landings,7BCEFGHJK,COD,2008,1873.6213
discards,7BCEFGHJK,COD,2009,1212.064774
landings,7BCEFGHJK,COD,2009,1994.26309
discards,7BCEFGHJK,COD,2010,1821.097409
landings,7BCEFGHJK,COD,2010,2566.52819
discards,7BCEFGHJK,COD,2011,2340.416828
landings,7BCEFGHJK,COD,2011,4176.2507
discards,7BCEFGHJK,COD,2012,1043.289096
landings,7BCEFGHJK,COD,2012,6101.4804
discards,7BCEFGHJK,COD,2013,545.675
landings,7BCEFGHJK,COD,2013,5502.8613
discards,7BCEFGHJK,COD,2014,889.79922
landings,7BCEFGHJK,COD,2014,3668.48537
discards,7BCEFGHJK,COD,2015,654.162444
landings,7BCEFGHJK,COD,2015,3848.10935
discards,7BCEFGHJK,COE,2003,795.173
landings,7BCEFGHJK,COE,2003,1320.3864
discards,7BCEFGHJK,COE,2004,281.596
landings,7BCEFGHJK,COE,2004,1356.3227
discards,7BCEFGHJK,COE,2005,244.587
landings,7BCEFGHJK,COE,2005,1372.4976
discards,7BCEFGHJK,COE,2006,40.947
landings,7BCEFGHJK,COE,2006,1026.3521
discards,7BCEFGHJK,COE,2007,126.462
landings,7BCEFGHJK,COE,2007,1115.5368
discards,7BCEFGHJK,COE,2008,85.119
landings,7BCEFGHJK,COE,2008,973.8805
discards,7BCEFGHJK,COE,2009,273.172
landings,7BCEFGHJK,COE,2009,917.464
discards,7BCEFGHJK,COE,2010,4190.716064
landings,7BCEFGHJK,COE,2010,3049.72584
discards,7BCEFGHJK,COE,2011,5422.920211
landings,7BCEFGHJK,COE,2011,2892.60024
discards,7BCEFGHJK,COE,2012,281.144704
landings,7BCEFGHJK,COE,2012,637.69178
discards,7BCEFGHJK,COE,2013,61.691069
landings,7BCEFGHJK,COE,2013,839.88798
discards,7BCEFGHJK,COE,2014,767.234597
landings,7BCEFGHJK,COE,2014,1404.15572
discards,7BCEFGHJK,COE,2015,472.718751
landings,7BCEFGHJK,COE,2015,1058.41206
discards,7BCEFGHJK,COZ,2003,
landings,7BCEFGHJK,COZ,2003,0.749
discards,7BCEFGHJK,COZ,2005,
landings,7BCEFGHJK,COZ,2005,0.009
discards,7BCEFGHJK,COZ,2006,
landings,7BCEFGHJK,COZ,2006,0.036
discards,7BCEFGHJK,CPR,2003,
landings,7BCEFGHJK,CPR,2003,0.041
discards,7BCEFGHJK,CPR,2004,
landings,7BCEFGHJK,CPR,2004,0.046
discards,7BCEFGHJK,CPR,2005,
landings,7BCEFGHJK,CPR,2005,0.413
discards,7BCEFGHJK,CPR,2006,
landings,7BCEFGHJK,CPR,2006,0.132
discards,7BCEFGHJK,CPR,2007,
landings,7BCEFGHJK,CPR,2007,0.093
discards,7BCEFGHJK,CPR,2012,
landings,7BCEFGHJK,CPR,2012,0.021
discards,7BCEFGHJK,CPR,2014,
landings,7BCEFGHJK,CPR,2014,0.0496
discards,7BCEFGHJK,CPR,2015,
landings,7BCEFGHJK,CPR,2015,0.07285
discards,7BCEFGHJK,CRE,2003,921.712
landings,7BCEFGHJK,CRE,2003,200.821
discards,7BCEFGHJK,CRE,2004,937.837
landings,7BCEFGHJK,CRE,2004,145.008
discards,7BCEFGHJK,CRE,2005,158.536
landings,7BCEFGHJK,CRE,2005,189.905
discards,7BCEFGHJK,CRE,2006,790.379
landings,7BCEFGHJK,CRE,2006,181.0719
discards,7BCEFGHJK,CRE,2007,399.929
landings,7BCEFGHJK,CRE,2007,198.4538
discards,7BCEFGHJK,CRE,2008,590.057
landings,7BCEFGHJK,CRE,2008,155.7898
discards,7BCEFGHJK,CRE,2009,276.713
landings,7BCEFGHJK,CRE,2009,152.8961
discards,7BCEFGHJK,CRE,2010,316.774469
landings,7BCEFGHJK,CRE,2010,102.9004
discards,7BCEFGHJK,CRE,2011,908.058257
landings,7BCEFGHJK,CRE,2011,104.4434
discards,7BCEFGHJK,CRE,2012,2049.693087
landings,7BCEFGHJK,CRE,2012,425.7437
discards,7BCEFGHJK,CRE,2013,1936.391533
landings,7BCEFGHJK,CRE,2013,396.4962
discards,7BCEFGHJK,CRE,2014,3082.463718
landings,7BCEFGHJK,CRE,2014,237.72706
discards,7BCEFGHJK,CRE,2015,1292.467891
landings,7BCEFGHJK,CRE,2015,236.57257
discards,7BCEFGHJK,CRG,2003,
landings,7BCEFGHJK,CRG,2003,0.042
discards,7BCEFGHJK,CRG,2004,0
landings,7BCEFGHJK,CRG,2004,0.393
discards,7BCEFGHJK,CRG,2005,
landings,7BCEFGHJK,CRG,2005,0.03
discards,7BCEFGHJK,CRG,2007,
landings,7BCEFGHJK,CRG,2007,0.05
discards,7BCEFGHJK,CRG,2014,
landings,7BCEFGHJK,CRG,2014,0.01253
discards,7BCEFGHJK,CRG,2015,
landings,7BCEFGHJK,CRG,2015,0.0276
discards,7BCEFGHJK,CRS,2014,
landings,7BCEFGHJK,CRS,2014,0.23471
discards,7BCEFGHJK,CRS,2015,
landings,7BCEFGHJK,CRS,2015,0.0135
discards,7BCEFGHJK,CRU,2003,
landings,7BCEFGHJK,CRU,2003,0.505
discards,7BCEFGHJK,CRU,2004,
landings,7BCEFGHJK,CRU,2004,0.045
discards,7BCEFGHJK,CRU,2005,
landings,7BCEFGHJK,CRU,2005,0.256
discards,7BCEFGHJK,CRU,2006,
landings,7BCEFGHJK,CRU,2006,0.276
discards,7BCEFGHJK,CRU,2007,
landings,7BCEFGHJK,CRU,2007,0.042
discards,7BCEFGHJK,CRU,2008,
landings,7BCEFGHJK,CRU,2008,0.06
discards,7BCEFGHJK,CRU,2009,
landings,7BCEFGHJK,CRU,2009,0.06
discards,7BCEFGHJK,CRU,2014,
landings,7BCEFGHJK,CRU,2014,0.722
discards,7BCEFGHJK,CRU,2015,
landings,7BCEFGHJK,CRU,2015,0.427
discards,7BCEFGHJK,CRW,2003,
landings,7BCEFGHJK,CRW,2003,0.247
discards,7BCEFGHJK,CRW,2004,0
landings,7BCEFGHJK,CRW,2004,0.136
discards,7BCEFGHJK,CRW,2005,0
landings,7BCEFGHJK,CRW,2005,0.215
discards,7BCEFGHJK,CRW,2006,
landings,7BCEFGHJK,CRW,2006,0.158
discards,7BCEFGHJK,CRW,2007,0
landings,7BCEFGHJK,CRW,2007,0.67
discards,7BCEFGHJK,CRW,2008,0
landings,7BCEFGHJK,CRW,2008,0.961
discards,7BCEFGHJK,CRW,2009,
landings,7BCEFGHJK,CRW,2009,0.961
discards,7BCEFGHJK,CRW,2011,
landings,7BCEFGHJK,CRW,2011,0.165
discards,7BCEFGHJK,CRW,2012,0
landings,7BCEFGHJK,CRW,2012,2.09
discards,7BCEFGHJK,CRW,2013,
landings,7BCEFGHJK,CRW,2013,0.321
discards,7BCEFGHJK,CRW,2014,
landings,7BCEFGHJK,CRW,2014,0.424
discards,7BCEFGHJK,CRW,2015,
landings,7BCEFGHJK,CRW,2015,0.228
discards,7BCEFGHJK,CSH,2005,0
landings,7BCEFGHJK,CSH,2005,0.507
discards,7BCEFGHJK,CSH,2006,
landings,7BCEFGHJK,CSH,2006,0.028
discards,7BCEFGHJK,CSH,2007,
landings,7BCEFGHJK,CSH,2007,0.491
discards,7BCEFGHJK,CSH,2008,
landings,7BCEFGHJK,CSH,2008,0.021
discards,7BCEFGHJK,CSH,2009,
landings,7BCEFGHJK,CSH,2009,0.021
discards,7BCEFGHJK,CSH,2010,
landings,7BCEFGHJK,CSH,2010,4.39
discards,7BCEFGHJK,CSH,2011,
landings,7BCEFGHJK,CSH,2011,4.638
discards,7BCEFGHJK,CSH,2012,
landings,7BCEFGHJK,CSH,2012,17.306
discards,7BCEFGHJK,CSH,2013,
landings,7BCEFGHJK,CSH,2013,11.92
discards,7BCEFGHJK,CSH,2014,
landings,7BCEFGHJK,CSH,2014,2.5862
discards,7BCEFGHJK,CSH,2015,
landings,7BCEFGHJK,CSH,2015,0.31
discards,7BCEFGHJK,CTC,2003,0
landings,7BCEFGHJK,CTC,2003,6848.167
discards,7BCEFGHJK,CTC,2004,0
landings,7BCEFGHJK,CTC,2004,8351.908
discards,7BCEFGHJK,CTC,2005,0
landings,7BCEFGHJK,CTC,2005,5472.928
discards,7BCEFGHJK,CTC,2006,0
landings,7BCEFGHJK,CTC,2006,4675.09
discards,7BCEFGHJK,CTC,2007,0
landings,7BCEFGHJK,CTC,2007,5489.001
discards,7BCEFGHJK,CTC,2008,0
landings,7BCEFGHJK,CTC,2008,3015.192
discards,7BCEFGHJK,CTC,2009,
landings,7BCEFGHJK,CTC,2009,3000.476
discards,7BCEFGHJK,CTC,2012,0
landings,7BCEFGHJK,CTC,2012,375.504
discards,7BCEFGHJK,CTC,2013,0.252
landings,7BCEFGHJK,CTC,2013,194.213
discards,7BCEFGHJK,CTC,2014,0
landings,7BCEFGHJK,CTC,2014,38.632
discards,7BCEFGHJK,CTC,2015,0
landings,7BCEFGHJK,CTC,2015,249.8525
discards,7BCEFGHJK,CTG,2004,
landings,7BCEFGHJK,CTG,2004,0.019
discards,7BCEFGHJK,CTL,2003,618.25
landings,7BCEFGHJK,CTL,2003,0
discards,7BCEFGHJK,CTL,2004,447.407
landings,7BCEFGHJK,CTL,2004,0
discards,7BCEFGHJK,CTL,2005,648.852
landings,7BCEFGHJK,CTL,2005,0
discards,7BCEFGHJK,CTL,2006,160.45
landings,7BCEFGHJK,CTL,2006,0
discards,7BCEFGHJK,CTL,2007,199.35
landings,7BCEFGHJK,CTL,2007,0
discards,7BCEFGHJK,CTL,2008,281.172
landings,7BCEFGHJK,CTL,2008,0
discards,7BCEFGHJK,CTL,2009,81.838
landings,7BCEFGHJK,CTL,2009,0
discards,7BCEFGHJK,CTL,2010,14.962
landings,7BCEFGHJK,CTL,2010,0
discards,7BCEFGHJK,CTL,2011,165.783
landings,7BCEFGHJK,CTL,2011,2664.883
discards,7BCEFGHJK,CTL,2012,143.139
landings,7BCEFGHJK,CTL,2012,4375.842
discards,7BCEFGHJK,CTL,2013,95.223
landings,7BCEFGHJK,CTL,2013,3064.534
discards,7BCEFGHJK,CTL,2014,135.753
landings,7BCEFGHJK,CTL,2014,4960.47195
discards,7BCEFGHJK,CTL,2015,83.879
landings,7BCEFGHJK,CTL,2015,9070.34202
discards,7BCEFGHJK,CUT,2014,
landings,7BCEFGHJK,CUT,2014,0.089
discards,7BCEFGHJK,CUW,2003,0.924
landings,7BCEFGHJK,CUW,2003,0
discards,7BCEFGHJK,CUW,2004,0.999
landings,7BCEFGHJK,CUW,2004,0
discards,7BCEFGHJK,CUW,2005,1.631
landings,7BCEFGHJK,CUW,2005,0
discards,7BCEFGHJK,CUW,2006,0.684
landings,7BCEFGHJK,CUW,2006,0
discards,7BCEFGHJK,CUW,2007,0.135
landings,7BCEFGHJK,CUW,2007,0
discards,7BCEFGHJK,CUW,2008,1.099
landings,7BCEFGHJK,CUW,2008,0
discards,7BCEFGHJK,CUW,2009,2.269
landings,7BCEFGHJK,CUW,2009,0
discards,7BCEFGHJK,CUW,2010,0.671
landings,7BCEFGHJK,CUW,2010,0
discards,7BCEFGHJK,CUW,2011,0.978
landings,7BCEFGHJK,CUW,2011,0
discards,7BCEFGHJK,CUW,2012,0.17
landings,7BCEFGHJK,CUW,2012,0
discards,7BCEFGHJK,CUW,2013,0.601
landings,7BCEFGHJK,CUW,2013,0
discards,7BCEFGHJK,CUW,2014,1.121
landings,7BCEFGHJK,CUW,2014,0
discards,7BCEFGHJK,CUW,2015,0.735
landings,7BCEFGHJK,CUW,2015,0
discards,7BCEFGHJK,CUX,2015,
landings,7BCEFGHJK,CUX,2015,2.547
discards,7BCEFGHJK,CXF,2014,
landings,7BCEFGHJK,CXF,2014,0.08
discards,7BCEFGHJK,CXF,2015,
landings,7BCEFGHJK,CXF,2015,1.4
discards,7BCEFGHJK,CYH,2004,0.885
landings,7BCEFGHJK,CYH,2004,0
discards,7BCEFGHJK,CYH,2005,0.04
landings,7BCEFGHJK,CYH,2005,0
discards,7BCEFGHJK,CYO,2003,
landings,7BCEFGHJK,CYO,2003,399.01
discards,7BCEFGHJK,CYO,2004,2.443
landings,7BCEFGHJK,CYO,2004,481.64
discards,7BCEFGHJK,CYO,2005,
landings,7BCEFGHJK,CYO,2005,196.06
discards,7BCEFGHJK,CYO,2006,
landings,7BCEFGHJK,CYO,2006,102.28
discards,7BCEFGHJK,CYO,2007,
landings,7BCEFGHJK,CYO,2007,7.25
discards,7BCEFGHJK,CYO,2010,31.85
landings,7BCEFGHJK,CYO,2010,6.66
discards,7BCEFGHJK,CYO,2014,1.79
landings,7BCEFGHJK,CYO,2014,0
discards,7BCEFGHJK,CYO,2015,2.14
landings,7BCEFGHJK,CYO,2015,0
discards,7BCEFGHJK,CYP,2004,13.814
landings,7BCEFGHJK,CYP,2004,0
discards,7BCEFGHJK,CYP,2011,1.51
landings,7BCEFGHJK,CYP,2011,0
discards,7BCEFGHJK,CYP,2012,0.25
landings,7BCEFGHJK,CYP,2012,0
discards,7BCEFGHJK,DAB,2003,2127.65
landings,7BCEFGHJK,DAB,2003,174.524
discards,7BCEFGHJK,DAB,2004,1071.147
landings,7BCEFGHJK,DAB,2004,193.169
discards,7BCEFGHJK,DAB,2005,1545.123
landings,7BCEFGHJK,DAB,2005,151.2238
discards,7BCEFGHJK,DAB,2006,752.912
landings,7BCEFGHJK,DAB,2006,142.6231
discards,7BCEFGHJK,DAB,2007,2885.643
landings,7BCEFGHJK,DAB,2007,93.8124
discards,7BCEFGHJK,DAB,2008,1077.36
landings,7BCEFGHJK,DAB,2008,108.1891
discards,7BCEFGHJK,DAB,2009,1116.436
landings,7BCEFGHJK,DAB,2009,162.3924
discards,7BCEFGHJK,DAB,2010,6241.574134
landings,7BCEFGHJK,DAB,2010,169.6439
discards,7BCEFGHJK,DAB,2011,1006.202064
landings,7BCEFGHJK,DAB,2011,148.90507
discards,7BCEFGHJK,DAB,2012,1005.35223
landings,7BCEFGHJK,DAB,2012,139.03313
discards,7BCEFGHJK,DAB,2013,973.943
landings,7BCEFGHJK,DAB,2013,139.14829
discards,7BCEFGHJK,DAB,2014,719.099561
landings,7BCEFGHJK,DAB,2014,97.41979
discards,7BCEFGHJK,DAB,2015,750.378628
landings,7BCEFGHJK,DAB,2015,94.563
discards,7BCEFGHJK,DCA,2004,16.398
landings,7BCEFGHJK,DCA,2004,0
discards,7BCEFGHJK,DCA,2005,2.894
landings,7BCEFGHJK,DCA,2005,0
discards,7BCEFGHJK,DCA,2008,2.507
landings,7BCEFGHJK,DCA,2008,0
discards,7BCEFGHJK,DCA,2010,
landings,7BCEFGHJK,DCA,2010,0.986
discards,7BCEFGHJK,DEC,2014,
landings,7BCEFGHJK,DEC,2014,0.0179
discards,7BCEFGHJK,DEC,2015,
landings,7BCEFGHJK,DEC,2015,0.2
discards,7BCEFGHJK,DEL,2015,
landings,7BCEFGHJK,DEL,2015,0.054
discards,7BCEFGHJK,DGH,2011,
landings,7BCEFGHJK,DGH,2011,113.926
discards,7BCEFGHJK,DGH,2012,
landings,7BCEFGHJK,DGH,2012,37.708
discards,7BCEFGHJK,DGH,2013,
landings,7BCEFGHJK,DGH,2013,12.269
discards,7BCEFGHJK,DGH,2014,
landings,7BCEFGHJK,DGH,2014,19.578
discards,7BCEFGHJK,DGH,2015,
landings,7BCEFGHJK,DGH,2015,11.323
discards,7BCEFGHJK,DGS,2003,36.107
landings,7BCEFGHJK,DGS,2003,780.852099
discards,7BCEFGHJK,DGS,2004,116.219
landings,7BCEFGHJK,DGS,2004,629.6286
discards,7BCEFGHJK,DGS,2005,120.883
landings,7BCEFGHJK,DGS,2005,720.479
discards,7BCEFGHJK,DGS,2006,59.462
landings,7BCEFGHJK,DGS,2006,422.983
discards,7BCEFGHJK,DGS,2007,115.559
landings,7BCEFGHJK,DGS,2007,326.742
discards,7BCEFGHJK,DGS,2008,36.561
landings,7BCEFGHJK,DGS,2008,182.7059
discards,7BCEFGHJK,DGS,2009,60.16
landings,7BCEFGHJK,DGS,2009,186.91449
discards,7BCEFGHJK,DGS,2010,83.145662
landings,7BCEFGHJK,DGS,2010,88.3438
discards,7BCEFGHJK,DGS,2011,723.175
landings,7BCEFGHJK,DGS,2011,23.2571
discards,7BCEFGHJK,DGS,2012,9.366
landings,7BCEFGHJK,DGS,2012,38.66185
discards,7BCEFGHJK,DGS,2013,22.311
landings,7BCEFGHJK,DGS,2013,32.7327
discards,7BCEFGHJK,DGS,2014,19.95
landings,7BCEFGHJK,DGS,2014,15.6
discards,7BCEFGHJK,DGS,2015,64.21
landings,7BCEFGHJK,DGS,2015,16.86
discards,7BCEFGHJK,DGX,2003,
landings,7BCEFGHJK,DGX,2003,0.091
discards,7BCEFGHJK,DGX,2004,0
landings,7BCEFGHJK,DGX,2004,0.44
discards,7BCEFGHJK,DGX,2005,0
landings,7BCEFGHJK,DGX,2005,2.17
discards,7BCEFGHJK,DGX,2006,
landings,7BCEFGHJK,DGX,2006,0.702
discards,7BCEFGHJK,DGX,2007,0
landings,7BCEFGHJK,DGX,2007,0.026
discards,7BCEFGHJK,DGX,2008,
landings,7BCEFGHJK,DGX,2008,1.726
discards,7BCEFGHJK,DGX,2009,
landings,7BCEFGHJK,DGX,2009,1.726
discards,7BCEFGHJK,DGX,2011,
landings,7BCEFGHJK,DGX,2011,286.577
discards,7BCEFGHJK,DGX,2012,
landings,7BCEFGHJK,DGX,2012,127.014
discards,7BCEFGHJK,DGX,2013,
landings,7BCEFGHJK,DGX,2013,124.865
discards,7BCEFGHJK,DGX,2014,
landings,7BCEFGHJK,DGX,2014,284.773
discards,7BCEFGHJK,DGX,2015,
landings,7BCEFGHJK,DGX,2015,109.964
discards,7BCEFGHJK,DOL,2015,
landings,7BCEFGHJK,DOL,2015,0.012
discards,7BCEFGHJK,DON,2003,
landings,7BCEFGHJK,DON,2003,0.02
discards,7BCEFGHJK,DON,2004,
landings,7BCEFGHJK,DON,2004,0.025
discards,7BCEFGHJK,DPS,2005,
landings,7BCEFGHJK,DPS,2005,0.017
discards,7BCEFGHJK,DPX,2014,
landings,7BCEFGHJK,DPX,2014,0.894
discards,7BCEFGHJK,DPX,2015,
landings,7BCEFGHJK,DPX,2015,1.043
discards,7BCEFGHJK,DTX,2003,7.641
landings,7BCEFGHJK,DTX,2003,0
discards,7BCEFGHJK,DTX,2004,5.915
landings,7BCEFGHJK,DTX,2004,0
discards,7BCEFGHJK,DTX,2005,0.021
landings,7BCEFGHJK,DTX,2005,0
discards,7BCEFGHJK,DTX,2006,19.598
landings,7BCEFGHJK,DTX,2006,0
discards,7BCEFGHJK,DTX,2007,22.134
landings,7BCEFGHJK,DTX,2007,0
discards,7BCEFGHJK,EJE,2004,0.004
landings,7BCEFGHJK,EJE,2004,0
discards,7BCEFGHJK,EJE,2005,0.002
landings,7BCEFGHJK,EJE,2005,0
discards,7BCEFGHJK,EJE,2006,0.004
landings,7BCEFGHJK,EJE,2006,0
discards,7BCEFGHJK,EJE,2009,0.004
landings,7BCEFGHJK,EJE,2009,0
discards,7BCEFGHJK,EJE,2010,0.001
landings,7BCEFGHJK,EJE,2010,0
discards,7BCEFGHJK,EKT,2003,0.531
landings,7BCEFGHJK,EKT,2003,0
discards,7BCEFGHJK,EKT,2004,0.069
landings,7BCEFGHJK,EKT,2004,0
discards,7BCEFGHJK,EKT,2007,0.019
landings,7BCEFGHJK,EKT,2007,0
discards,7BCEFGHJK,EKT,2008,0.046
landings,7BCEFGHJK,EKT,2008,0
discards,7BCEFGHJK,ELE,2003,
landings,7BCEFGHJK,ELE,2003,0.007
discards,7BCEFGHJK,ELE,2011,
landings,7BCEFGHJK,ELE,2011,0.001
discards,7BCEFGHJK,ELE,2014,
landings,7BCEFGHJK,ELE,2014,0.094
discards,7BCEFGHJK,ELE,2015,
landings,7BCEFGHJK,ELE,2015,0.049
discards,7BCEFGHJK,ELP,2015,
landings,7BCEFGHJK,ELP,2015,0.05
discards,7BCEFGHJK,ELZ,2006,
landings,7BCEFGHJK,ELZ,2006,0.08
discards,7BCEFGHJK,ELZ,2013,
landings,7BCEFGHJK,ELZ,2013,0.002
discards,7BCEFGHJK,EOI,2015,
landings,7BCEFGHJK,EOI,2015,5.416
discards,7BCEFGHJK,EPI,2003,
landings,7BCEFGHJK,EPI,2003,26.45
discards,7BCEFGHJK,EPI,2004,0.326
landings,7BCEFGHJK,EPI,2004,122.47
discards,7BCEFGHJK,EPI,2005,
landings,7BCEFGHJK,EPI,2005,27.41
discards,7BCEFGHJK,EPI,2006,
landings,7BCEFGHJK,EPI,2006,11.44
discards,7BCEFGHJK,EPI,2007,
landings,7BCEFGHJK,EPI,2007,0.72
discards,7BCEFGHJK,EPI,2010,1.224425
landings,7BCEFGHJK,EPI,2010,6.08
discards,7BCEFGHJK,EPI,2011,1.086772
landings,7BCEFGHJK,EPI,2011,2.15869
discards,7BCEFGHJK,EPI,2012,0.07
landings,7BCEFGHJK,EPI,2012,0.22918
discards,7BCEFGHJK,EPI,2013,21.321
landings,7BCEFGHJK,EPI,2013,0.9591
discards,7BCEFGHJK,EPI,2014,0
landings,7BCEFGHJK,EPI,2014,1.3902
discards,7BCEFGHJK,EPI,2015,0.06
landings,7BCEFGHJK,EPI,2015,0.88152
discards,7BCEFGHJK,ETX,2004,2.932
landings,7BCEFGHJK,ETX,2004,0
discards,7BCEFGHJK,ETX,2008,24.204
landings,7BCEFGHJK,ETX,2008,0
discards,7BCEFGHJK,ETX,2009,0.81
landings,7BCEFGHJK,ETX,2009,0
discards,7BCEFGHJK,ETX,2010,1.26
landings,7BCEFGHJK,ETX,2010,0
discards,7BCEFGHJK,ETX,2012,1.23
landings,7BCEFGHJK,ETX,2012,0
discards,7BCEFGHJK,ETX,2013,3.56
