"Param","starting_value","Lower","MLE","Upper","final_gradient"
"ln_H_input",0,-50,0.04458368031505,50,0.000382307972379703
"ln_H_input",0,-50,0.0321634223756337,50,0.000622457340430316
"beta1_ct",-6.42357059812572,-50,-1.96432583548345,50,0.000138868530771719
"beta1_ct",-7.66354213902826,-50,-6.97360212562787,50,-3.64498675403668e-05
"beta1_ct",-5.56112745711694,-50,1.87818590066126,50,2.75212784343615e-05
"beta1_ct",-6.31878481681465,-50,-3.90611614014446,50,1.43947555121052e-05
"beta1_ct",-6.9124486131183,-50,-1.1274993123838,50,-5.89862072775116e-06
"beta1_ct",-6.65564828405089,-50,-3.49887738778314,50,1.68422715114414e-05
"beta1_ct",-5.61704636181793,-50,0.205611852381193,50,-8.02864716171747e-05
"beta1_ct",-5.72742586897612,-50,-2.52740486160481,50,0.000106559904272441
"beta1_ct",-5.9113878108875,-50,-4.56423672898304,50,-2.04319647340995e-05
"beta1_ct",-5.86666963293679,-50,-6.09591224553416,50,-0.000136920431042908
"beta1_ct",-5.61336326753519,-50,-1.37243757744324,50,0.000197814919846273
"beta1_ct",-5.61305695001845,-50,-3.48428828094138,50,0.000140831020100096
"beta1_ct",-5.53358237501262,-50,3.41009562937272,50,-7.66502230242772e-05
"beta1_ct",-5.66684003521999,-50,0.578897775195481,50,-0.000201112126483105
"beta1_ct",-5.18983391694136,-50,-1.48829099677021,50,7.35480051488324e-05
"beta1_ct",-6.01729373496978,-50,-5.48006204579431,50,4.95867085419377e-05
"beta1_ct",-5.17941722876662,-50,-1.57461258799458,50,-0.000115215848319528
"beta1_ct",-6.51772585551713,-50,-7.46101649715619,50,-6.88279835375782e-05
"beta1_ct",-6.42357059812572,-50,-1.4990534645637,50,0.00014903753913309
"beta1_ct",-7.66354213902826,-50,-6.2377530479186,50,-4.70696518310998e-05
"beta1_ct",-5.56112745711694,-50,1.78865811684646,50,-0.000261898872772059
"beta1_ct",-6.31878481681465,-50,-3.97051609237928,50,-6.21533275022013e-05
"beta1_ct",-6.9124486131183,-50,-3.59533423408238,50,-5.79657452413514e-05
"beta1_ct",-6.65564828405089,-50,-5.67393461785317,50,-0.000125608739961397
"beta1_ct",-5.61704636181793,-50,-1.43635178195733,50,2.41313667443954e-05
"beta1_ct",-5.72742586897612,-50,-2.17216720460265,50,-0.000169840094377705
"beta1_ct",-5.9113878108875,-50,-4.56896415707783,50,4.02791146056902e-05
"beta1_ct",-5.86666963293679,-50,-4.3390487067516,50,0.000153080816964579
"beta1_ct",-5.61336326753519,-50,-0.780009238824349,50,-0.000184020730617407
"beta1_ct",-5.61305695001845,-50,-1.42143747244821,50,0.000118768534220104
"beta1_ct",-5.53358237501262,-50,3.61585407834848,50,-3.42288919124023e-05
"beta1_ct",-5.66684003521999,-50,0.524067153690415,50,4.16174840107697e-05
"beta1_ct",-5.18983391694136,-50,-1.96735395219886,50,3.8618037266458e-05
"beta1_ct",-6.01729373496978,-50,-6.56795470686144,50,8.61573485481104e-05
"beta1_ct",-5.17941722876662,-50,-3.0337570467682,50,-0.000164595670459233
"beta1_ct",-6.51772585551713,-50,-8.55222054821787,50,3.89454275417922e-05
"beta1_ct",-6.42357059812572,-50,-1.52464269899647,50,-4.46233140962704e-05
"beta1_ct",-7.66354213902826,-50,-5.39042457978204,50,4.35049554187161e-05
"beta1_ct",-5.56112745711694,-50,1.36889012113703,50,4.41651816914801e-05
"beta1_ct",-6.31878481681465,-50,-3.8682041378839,50,4.48517983002855e-05
"beta1_ct",-6.9124486131183,-50,-4.51646726604445,50,8.53060693189328e-06
"beta1_ct",-6.65564828405089,-50,-5.49861409800875,50,2.2128153968598e-05
"beta1_ct",-5.61704636181793,-50,-2.15891669897651,50,2.81327711997292e-05
"beta1_ct",-5.72742586897612,-50,-1.7898639323701,50,0.000104700217721465
